1.800000000000000000e+01,2.822282029514296298e+00,4.160576900000000222e+01,5.616601562500000000e+02,5.190000000000000000e+02
6.000000000000000888e+00,1.354745538145570194e+01,5.971061600000000169e+01,5.973750000000000000e+02,5.190000000000000000e+02
1.250000000000000000e+01,2.866914941500600733e+01,7.405109400000000619e+01,6.571171875000000000e+02,5.220000000000000000e+02
6.449999999999998579e+01,7.430879077453390602e-01,8.766299300000000017e+01,6.591210937500000000e+02,5.500000000000000000e+02
3.650000000000000000e+01,3.624426751603899710e+00,1.177395630000000040e+02,6.599531250000000000e+02,5.500000000000000000e+02
3.400000000000000000e+01,5.665979194524397577e+00,1.012332830000000001e+02,6.606679687500000000e+02,5.550000000000000000e+02
8.950000000000001421e+01,5.776765893789306272e-01,1.477157780000000002e+02,8.636171875000000000e+02,6.120000000000000000e+02
5.250000000000000000e+01,3.429913994906577557e+00,2.001421609999999873e+02,8.941406250000000000e+02,6.140000000000000000e+02
3.700000000000000000e+01,5.873535727543123031e+00,2.477407059999999888e+02,8.978984375000000000e+02,6.220000000000000000e+02
8.899999999999998579e+01,4.055692773161047593e-01,3.056830330000000231e+02,9.566093750000000000e+02,7.360000000000000000e+02
7.849999999999998579e+01,7.044851682271835447e-01,6.932929110000000037e+02,9.574453125000000000e+02,7.400000000000000000e+02
5.500000000000000711e+01,4.673353612572442195e+00,4.851504259999999817e+02,1.095625000000000000e+03,7.680000000000000000e+02
9.949999999999998579e+01,2.371972094602217140e-01,4.244553530000000023e+02,1.147355468750000000e+03,8.600000000000000000e+02
9.300000000000000000e+01,6.450425192677425867e-01,6.152258880000000545e+02,1.213441406250000000e+03,8.660000000000000000e+02
6.950000000000000000e+01,2.155620727155540095e+00,6.396466269999999668e+02,1.344812500000000000e+03,9.060000000000000000e+02
